EEG_Fp1,EEG_Fp2
-2.2e-05,-3e-05
-9e-06,-1.5e-05
-1.7e-05,-2.7e-05
-5.6e-05,-6.1e-05
-2.5e-05,-3e-05
-4e-06,-8e-06
-2.5e-05,-2.3e-05
-5.1e-05,-5.1e-05
-4.3e-05,-4.9e-05
5e-06,-9e-06
-6e-06,-2.4e-05
-3.6e-05,-4.3e-05
-5.1e-05,-6e-05
1.3e-05,-1.9e-05
5e-06,-8e-06
-1.9e-05,-1.6e-05
-5.6e-05,-5.3e-05
3e-06,1e-06
2e-05,8e-06
-1e-06,-1.2e-05
-3.8e-05,-5.1e-05
-1.6e-05,-2.1e-05
2.6e-05,1.1e-05
2.5e-05,4e-06
-5e-06,-2.8e-05
-6e-06,-2.5e-05
4.2e-05,2.6e-05
1.9e-05,5e-06
-4e-06,-2.1e-05
-3.7e-05,-4.7e-05
1.6e-05,2e-06
1.3e-05,-6e-06
-2e-06,-2e-05
-4.1e-05,-5.4e-05
2.3e-05,1e-05
2.9e-05,1.8e-05
1.2e-05,-7e-06
-2.9e-05,-4.4e-05
-5e-06,-1.6e-05
1.7e-05,1.7e-05
4e-06,6e-06
-3.4e-05,-3.9e-05
-2.9e-05,-3.2e-05
1.9e-05,1.4e-05
6e-06,-0.0
-1.1e-05,-1.7e-05
-1.7e-05,-2.4e-05
3.5e-05,2.4e-05
2.8e-05,2e-05
1.4e-05,3e-06
-1.6e-05,-3e-05
2.2e-05,1.7e-05
2.9e-05,2.6e-05
8e-06,7e-06
-2.7e-05,-3.4e-05
-8e-06,-1.6e-05
2.1e-05,1.7e-05
1.2e-05,-2e-06
-1.6e-05,-2.8e-05
-2e-05,-2.5e-05
3.3e-05,3.4e-05
2.5e-05,1.9e-05
1e-06,-1.1e-05
-2.3e-05,-3.5e-05
2.5e-05,2e-05
2.2e-05,8e-06
6e-06,-8e-06
-2.4e-05,-3.7e-05
2.5e-05,1.4e-05
2.4e-05,1.3e-05
1.2e-05,3e-06
-2.8e-05,-4.1e-05
-5e-06,-1.2e-05
2.4e-05,2.1e-05
7e-06,2e-06
-1.4e-05,-2.6e-05
-1.4e-05,-1.3e-05
3.1e-05,3.5e-05
2.4e-05,2.4e-05
-3e-06,-2e-06
-2.6e-05,-3.9e-05
3.3e-05,3e-05
2e-05,2.3e-05
2e-06,6e-06
-2.8e-05,-3.2e-05
8e-06,1.2e-05
1e-05,1.2e-05
1.3e-05,3e-06
3e-06,-1.3e-05
2.1e-05,1e-05
4.3e-05,3.8e-05
2.9e-05,2.4e-05
-1.3e-05,-1.8e-05
-1.3e-05,-1.7e-05
3.6e-05,3.1e-05
2e-05,1.5e-05
-8e-06,-1.1e-05
-2.8e-05,-3.8e-05
1.8e-05,1.7e-05
1.7e-05,1.6e-05
1e-05,-2e-06
-3.5e-05,-5.1e-05
1.1e-05,5e-06
2.8e-05,1.7e-05
1.2e-05,-1e-06
-2.4e-05,-3.1e-05
-2e-06,-0.0
2.9e-05,3.3e-05
1.7e-05,1.5e-05
-8e-06,-1e-05
-1.3e-05,-1.5e-05
4.3e-05,3.8e-05
4.4e-05,4.1e-05
1.3e-05,1.2e-05
-1.3e-05,-1.4e-05
3.1e-05,3.7e-05
1e-05,1.5e-05
-6e-06,-1e-05
-5e-05,-6.1e-05
-9e-06,-7e-06
-3e-06,2e-06
-1.6e-05,-7e-06
-5.1e-05,-4.4e-05
-2.1e-05,-1.3e-05
1.8e-05,2.3e-05
6e-06,2e-06
-1e-05,-1.8e-05
-2e-05,-1.6e-05
3.4e-05,3.8e-05
1.9e-05,1.1e-05
-1e-06,-9e-06
-4.5e-05,-4.3e-05
2.4e-05,1.9e-05
2.1e-05,1.7e-05
1e-06,-1e-06
-3.4e-05,-4e-05
1.6e-05,4e-06
2.5e-05,6e-06
2.1e-05,-1.2e-05
-1.8e-05,-5.9e-05
1e-06,-3.7e-05
2.9e-05,-3e-06
1.4e-05,-2.1e-05
-1.8e-05,-3.9e-05
-2e-05,-4e-05
2.5e-05,5e-06
1.8e-05,-8e-06
-2e-06,-3.3e-05
-3.5e-05,-6.1e-05
1.8e-05,-1e-06
1.5e-05,-3e-06
-1e-06,-3e-05
-4.9e-05,-8e-05
-9e-06,-3e-05
0.0,-1.1e-05
-9e-06,-2.4e-05
-4e-05,-6.1e-05
-1.7e-05,-3.6e-05
1.6e-05,0.0
0.0,-1.5e-05
-2.6e-05,-5e-05
-2.9e-05,-4.7e-05
1.9e-05,6e-06
9e-06,-8e-06
-8e-06,-2.1e-05
-4.9e-05,-4.8e-05
4e-06,8e-06
1e-05,-1e-06
1e-05,-1.1e-05
-3.1e-05,-5.1e-05
1e-06,-8e-06
1.7e-05,4e-06
8e-06,-3e-06
-3.3e-05,-4.1e-05
-2.4e-05,-2.2e-05
2.2e-05,1.9e-05
-1e-05,-1e-05
-3.6e-05,-4.5e-05
-4.1e-05,-4.1e-05
6e-06,1.2e-05
3e-06,-3e-06
-1.2e-05,-1.8e-05
-4.6e-05,-4.7e-05
-4e-06,0.0
-2e-06,-2e-06
-9e-06,-9e-06
-4.7e-05,-4.5e-05
-5e-06,1e-06
4e-06,4e-06
-1.6e-05,-1.6e-05
-5e-05,-4.6e-05
-3.5e-05,-3.5e-05
1e-06,2e-06
-9e-06,-2e-06
-4.1e-05,-3e-05
-5.2e-05,-3.9e-05
-1e-06,4e-06
-8e-06,-1.1e-05
-2.9e-05,-2.7e-05
-5.1e-05,-4.5e-05
6e-06,1.3e-05
8e-06,8e-06
-5e-06,-1.1e-05
-5.2e-05,-6e-05
-1.7e-05,-1.1e-05
-4e-06,4e-06
-1.5e-05,-3e-06
-5.1e-05,-4.7e-05
-3.6e-05,-3.1e-05
6e-06,8e-06
-5e-06,-6e-06
-3.2e-05,-2.6e-05
-4.3e-05,-4.3e-05
8e-06,4e-06
-1.3e-05,-1.3e-05
-2.4e-05,-2.1e-05
-5.9e-05,-5.1e-05
-1e-06,1.3e-05
9e-06,1.6e-05
-1.6e-05,-1.1e-05
-5.2e-05,-5.3e-05
-3e-06,-1e-06
9e-06,1.4e-05
2e-06,4e-06
-3.5e-05,-2.8e-05
-1.7e-05,-1.7e-05
4e-06,1.1e-05
-2.1e-05,-1e-05
-4.7e-05,-4.1e-05
-5.9e-05,-5.4e-05
-6e-06,-0.0
-1.8e-05,-1.6e-05
-3.4e-05,-3.1e-05
-6.8e-05,-6.8e-05
-8e-06,-1.1e-05
-1.7e-05,-2e-05
-2.7e-05,-2.3e-05
-6.4e-05,-6.6e-05
-2.6e-05,-1.1e-05
-1.7e-05,-5e-06
-2.7e-05,-2.2e-05
-6.1e-05,-5.4e-05
-4.6e-05,-2.8e-05
-1.6e-05,4e-06
-3.4e-05,-2.4e-05
-5.9e-05,-6.5e-05
-6.5e-05,-7.2e-05
-1e-05,-5e-06
-2.1e-05,-1.7e-05
-3e-05,-3e-05
-6e-05,-6.6e-05
-3e-06,-4e-06
5e-06,3e-06
-8e-06,-7e-06
-4.2e-05,-4.5e-05
3e-06,4e-06
2.5e-05,1.7e-05
2.1e-05,1.6e-05
-1e-05,-1.9e-05
-4e-06,-1.7e-05
9e-06,1.3e-05
1.8e-05,3.4e-05
-7e-06,5e-06
-4e-05,-2.9e-05
0.0,1.7e-05
-2.7e-05,1e-06
-4.1e-05,-1e-05
-8.9e-05,-5.9e-05
-3.6e-05,-7e-06
-4.1e-05,-2.1e-05
-7.5e-05,-5e-05
-0.000123,-0.000103
-9.5e-05,-7.1e-05
-8.4e-05,-5.6e-05
-0.000102,-7.2e-05
-0.000132,-0.00011
-0.000127,-0.000103
-9.9e-05,-6.7e-05
-0.00011,-8.1e-05
-0.000137,-0.000111
-0.000141,-0.000113
-8.4e-05,-6.2e-05
-9.6e-05,-7.7e-05
-0.000117,-9.8e-05
-0.000137,-0.000122
-7.6e-05,-6.2e-05
-8.5e-05,-7e-05
-8.9e-05,-7.5e-05
-0.000131,-0.000118
-0.000104,-7.8e-05
-9.3e-05,-6.9e-05
-0.000103,-8.3e-05
-0.000138,-0.00012
-0.000122,-0.000101
-8.1e-05,-6.4e-05
-9.6e-05,-8e-05
-0.000125,-0.00011
-0.000134,-0.000117
-7.5e-05,-5.4e-05
-7.5e-05,-6.4e-05
-9e-05,-7.6e-05
-0.000134,-0.000116
-8.4e-05,-6.1e-05
-9.6e-05,-7.4e-05
-0.000102,-7.9e-05
-0.000141,-0.000122
-9.1e-05,-8.9e-05
-6.2e-05,-6.7e-05
-8e-05,-7.5e-05
-0.000111,-0.000104
-0.000102,-9.3e-05
-6.1e-05,-5.4e-05
-8.4e-05,-8.2e-05
-0.000102,-9.8e-05
-0.000104,-0.000102
-5.6e-05,-5e-05
-6.5e-05,-5.8e-05
-8.7e-05,-7.9e-05
-0.000122,-0.00012
-6e-05,-5.1e-05
-5.4e-05,-4.6e-05
-7.4e-05,-6.3e-05
-0.000128,-0.000112
-9.9e-05,-7.8e-05
-6.5e-05,-6.7e-05
-1.5e-05,-3.2e-05
-4.7e-05,-4.4e-05
-3.6e-05,-3.1e-05
3e-05,2.1e-05
2.2e-05,1.5e-05
8e-06,1.1e-05
3e-06,-1e-06
6.8e-05,6.6e-05
7e-05,5.9e-05
5.5e-05,3.8e-05
3.4e-05,7e-06
9.3e-05,5.9e-05
8e-05,6.1e-05
8.2e-05,6.6e-05
3.6e-05,2e-05
7.2e-05,5.9e-05
8.9e-05,7.2e-05
7.4e-05,5.4e-05
4.2e-05,2.1e-05
5.4e-05,2.9e-05
9.5e-05,7.3e-05
7.2e-05,4.7e-05
5.3e-05,2.6e-05
2.8e-05,6e-06
7.2e-05,5.9e-05
6e-05,4.4e-05
3.9e-05,1.1e-05
3e-06,-2.5e-05
4.7e-05,2.6e-05
5.5e-05,3.3e-05
4.6e-05,2.1e-05
7e-06,-2.2e-05
3.6e-05,1.2e-05
5.1e-05,3.8e-05
3.8e-05,2.7e-05
3e-06,-8e-06
1.6e-05,8e-06
6.3e-05,5.2e-05
4.3e-05,3.9e-05
2.2e-05,1.7e-05
1e-05,-4e-06
6.3e-05,4.5e-05
5.6e-05,3.4e-05
3.5e-05,1.9e-05
-6e-06,-1.7e-05
4.8e-05,4.6e-05
4.9e-05,3.9e-05
3.3e-05,1.7e-05
-5e-06,-1.7e-05
2.8e-05,2.5e-05
5.6e-05,5.5e-05
3.8e-05,3.7e-05
5e-06,0.0
7e-06,4e-06
5.1e-05,4.9e-05
3.6e-05,3.2e-05
1.4e-05,2e-06
-1.2e-05,-1.9e-05
2.6e-05,2.6e-05
-1e-06,-4e-06
2.2e-05,1e-05
4e-06,0.0
2.7e-05,3.3e-05
3.2e-05,3e-05
2.6e-05,2.2e-05
-1.5e-05,-2.8e-05
3e-05,2.1e-05
4.5e-05,4.1e-05
2.8e-05,2.8e-05
-5e-06,-8e-06
3e-06,4e-06
4.5e-05,4.4e-05
2.1e-05,1.7e-05
-1.3e-05,-2.1e-05
-3e-05,-3.1e-05
2e-05,2.4e-05
1.4e-05,2.1e-05
0.0,4e-06
-2.9e-05,-3.2e-05
2.4e-05,2.9e-05
2.4e-05,3.1e-05
8e-06,6e-06
-3.7e-05,-3.4e-05
0.0,7e-06
1.9e-05,2.9e-05
5e-06,1e-05
-2.5e-05,-3e-05
-2.5e-05,-2.3e-05
1.9e-05,2.4e-05
5e-06,9e-06
-2.1e-05,-1.7e-05
-4.9e-05,-4e-05
2e-06,1.3e-05
-8e-06,-2e-06
-3e-05,-1.9e-05
-6.5e-05,-5.7e-05
-1.7e-05,-1.1e-05
-1e-05,-5e-06
-2e-05,-5e-06
-6.4e-05,-5.3e-05
-2.9e-05,-1.4e-05
-7e-06,5e-06
-2.1e-05,-1e-05
-5.8e-05,-4.5e-05
-4.6e-05,-3e-05
1e-06,1.3e-05
-1.8e-05,-1e-05
-4.4e-05,-3.8e-05
-5.5e-05,-4.7e-05
-1.3e-05,3e-06
-2.5e-05,-7e-06
-4.2e-05,-2.5e-05
-8.4e-05,-6.5e-05
-2.7e-05,-7e-06
-3e-05,-1.1e-05
-3.2e-05,-1.8e-05
-6.8e-05,-4.8e-05
-3.9e-05,-1.6e-05
-1.6e-05,8e-06
-3.2e-05,-1.3e-05
-6.9e-05,-4.8e-05
-6.2e-05,-3.6e-05
-1.7e-05,8e-06
-3.6e-05,-2.1e-05
-5.3e-05,-4.2e-05
-6.6e-05,-4.7e-05
-1.3e-05,1.3e-05
-2e-05,6e-06
-4.1e-05,-1.7e-05
-7.7e-05,-5.2e-05
-2.7e-05,0.0
-2.5e-05,2e-06
-4.1e-05,-8e-06
-7.5e-05,-5e-05
-3.1e-05,-8e-06
-2e-05,9e-06
-4.4e-05,-1.3e-05
-6.8e-05,-4.6e-05
-5.1e-05,-3.1e-05
2e-06,2.5e-05
-1.4e-05,1.4e-05
-4e-05,-8e-06
-5.1e-05,-2.1e-05
-0.0,3e-05
-5e-06,3e-05
-1.9e-05,1e-05
-5.7e-05,-3.3e-05
-8e-06,2.6e-05
-8e-06,1.8e-05
-2.3e-05,0.0
-6.3e-05,-3.6e-05
-3.2e-05,-1e-06
-7e-06,2.4e-05
-2.2e-05,6e-06
-6.1e-05,-3e-05
-7.1e-05,-2.9e-05
-3.8e-05,7e-06
-1.8e-05,1.6e-05
-1.2e-05,1.3e-05
-3.6e-05,-1.7e-05
2.6e-05,4.5e-05
1.4e-05,3.5e-05
-8e-06,1.3e-05
-4.3e-05,-2.8e-05
1.1e-05,3.7e-05
1.7e-05,4.7e-05
8e-06,3.5e-05
-4.4e-05,-1.1e-05
-2.1e-05,1.6e-05
3e-06,3.1e-05
-1.7e-05,2e-05
-4.7e-05,-1.5e-05
-4.7e-05,-1.3e-05
0.0,3.2e-05
-2.4e-05,1.4e-05
-4.4e-05,-3e-06
-5.8e-05,-2.1e-05
-3e-06,3.5e-05
-1.4e-05,2.1e-05
-3.5e-05,8e-06
-7.2e-05,-3.3e-05
-3e-05,8e-06
-2.2e-05,-2.3e-05
-3.3e-05,-6e-05
-7.7e-05,-9.6e-05
-4.9e-05,-5.7e-05
-1.4e-05,-1.7e-05
-2.8e-05,-3.4e-05
-5.8e-05,-6.6e-05
-4.8e-05,-5e-05
-8e-06,-1.3e-05
-1.2e-05,-2.3e-05
-3.8e-05,-4.8e-05
-5.4e-05,-6.7e-05
1e-06,-5e-06
-2.4e-05,-2.1e-05
-4.1e-05,-4.2e-05
-6.8e-05,-7.1e-05
-1.3e-05,-1.2e-05
-6e-06,4e-06
-1.5e-05,-6e-06
-5.9e-05,-5.5e-05
-2.8e-05,-1.6e-05
-6e-06,6e-06
-2.1e-05,-1e-05
-4.8e-05,-5.4e-05
-5.4e-05,-5.2e-05
-1e-05,-1e-05
-3e-05,-3.6e-05
-5.6e-05,-5.9e-05
-7.6e-05,-8e-05
-2.9e-05,-2.6e-05
-3.4e-05,-2.5e-05
-5e-05,-4.5e-05
-8.4e-05,-7.6e-05
-4e-05,-2.2e-05
-3.5e-05,-2.2e-05
-4.2e-05,-3.8e-05
-7.9e-05,-7.4e-05
-4.2e-05,-3.5e-05
-1.9e-05,-1.9e-05
-2.8e-05,-3.2e-05
-4.9e-05,-5.5e-05
-6e-05,-6.2e-05
-2.7e-05,-1.5e-05
-4.2e-05,-3e-05
-6.3e-05,-6.1e-05
-8e-05,-7.7e-05
-3.4e-05,-1.7e-05
-4.2e-05,-3e-05
-5.5e-05,-4.8e-05
-8.5e-05,-8.9e-05
-2.6e-05,-2.5e-05
-1.6e-05,-1.1e-05
-2.7e-05,-1.7e-05
-6.8e-05,-6.1e-05
-3.6e-05,-2.4e-05
-1.2e-05,-1e-06
-2.7e-05,-2.1e-05
-6.7e-05,-5.9e-05
-6.3e-05,-5e-05
-1.6e-05,3e-06
-3.9e-05,-1.2e-05
-5.5e-05,-3.4e-05
-6.5e-05,-5.1e-05
-1.1e-05,6e-06
-1.8e-05,1e-06
-3e-05,-1.6e-05
-7e-05,-5.7e-05
-2.8e-05,-9e-06
-1.1e-05,5e-06
-2.2e-05,-3e-06
-7.2e-05,-5.6e-05
-5.5e-05,-3.5e-05
-2.1e-05,-6e-06
-2.3e-05,-1.5e-05
-5.1e-05,-5.5e-05
-5.4e-05,-5.1e-05
-3e-06,8e-06
-7e-06,-0.0
-2.8e-05,-2e-05
-4.6e-05,-3.8e-05
1e-06,1.7e-05
-8e-06,8e-06
-1.4e-05,1e-06
-4.9e-05,-3.8e-05
-4e-06,1.5e-05
1e-06,1.5e-05
-2e-06,1.2e-05
-5.3e-05,-3.8e-05
-2.2e-05,-3e-06
-2e-06,1.2e-05
-2.5e-05,-1.7e-05
-6.9e-05,-6.1e-05
-7.4e-05,-6.5e-05
-2.3e-05,-3e-06
-3.9e-05,-1.6e-05
-6.1e-05,-3.9e-05
-8.9e-05,-6.1e-05
-2.1e-05,-0.0
-3.1e-05,-1.2e-05
-4.1e-05,-2.4e-05
-3.6e-05,-2.3e-05
1.4e-05,3.8e-05
9e-06,3e-05
5e-06,1.7e-05
-2.8e-05,-1.1e-05
-2.9e-05,-2e-06
1.2e-05,3.4e-05
7e-06,1.5e-05
-3.5e-05,-2.2e-05
-3.8e-05,-2.4e-05
-5e-06,1.7e-05
-1.7e-05,6e-06
-4.2e-05,-1.6e-05
-7.1e-05,-4.6e-05
-6e-06,1.5e-05
-7e-06,4e-06
-1.2e-05,-8e-06
-5.2e-05,-5.1e-05
-1.8e-05,-7e-06
-1e-05,0.0
-2.4e-05,-1.6e-05
-7.1e-05,-5.4e-05
-2.7e-05,-1.3e-05
1e-06,1.6e-05
-1.4e-05,1e-06
-5.8e-05,-4.1e-05
-5.5e-05,-3.8e-05
2e-06,2.4e-05
-1.5e-05,8e-06
-3.4e-05,-1.4e-05
-5.5e-05,-2.8e-05
-0.0,2.7e-05
4e-06,1.7e-05
3e-06,1.2e-05
-3.8e-05,-2.4e-05
1.3e-05,3e-05
1.8e-05,3.4e-05
8e-06,2.6e-05
-2.6e-05,-1e-05
-4e-06,2.3e-05
2e-05,4.5e-05
8e-06,2.5e-05
-1.8e-05,-4e-06
-1.6e-05,-3e-06
2.5e-05,4.2e-05
1e-05,2.6e-05
-8e-06,3e-06
-3.8e-05,-3.3e-05
2e-06,1.1e-05
-8e-06,1e-06
-1.8e-05,5e-06
-3.9e-05,-2.1e-05
2.1e-05,3e-05
2.5e-05,3.4e-05
4e-06,1.4e-05
-4.4e-05,-3.8e-05
-2.6e-05,-2e-05
4e-06,1e-05
-4e-06,-3e-06
-2.3e-05,-2.6e-05
-2.8e-05,-2.4e-05
1.8e-05,2.6e-05
6e-06,1.6e-05
-9e-06,0.0
-3.8e-05,-2.8e-05
1.9e-05,3.1e-05
2.3e-05,2.9e-05
1.2e-05,1.2e-05
-2.5e-05,-2.7e-05
1.8e-05,2.3e-05
3.4e-05,3.3e-05
2.1e-05,1.7e-05
-1.4e-05,-1.2e-05
6e-06,1e-05
4.1e-05,4.7e-05
2.3e-05,2.7e-05
-0.0,3e-06
-6e-06,2e-06
4.8e-05,6.2e-05
3.1e-05,5.1e-05
9e-06,1.8e-05
-3e-06,-1e-06
5.1e-05,5.6e-05
4.7e-05,5.2e-05
2.9e-05,3.6e-05
2.9e-05,3e-05
2.5e-05,2.9e-05
2.6e-05,3.2e-05
2e-05,2.4e-05
2.5e-05,2.3e-05
2.3e-05,2.1e-05
1.1e-05,1.3e-05
1.8e-05,1.6e-05
2.6e-05,1.6e-05
2.5e-05,1.3e-05
1.6e-05,1.1e-05
1.4e-05,1e-05
1.1e-05,5e-06
1.6e-05,1.1e-05
3e-05,2.3e-05
3.8e-05,2.6e-05
4.4e-05,3e-05
4.6e-05,3.2e-05
4.2e-05,2.9e-05
3.8e-05,2.8e-05
4.6e-05,3.3e-05
6.2e-05,4.6e-05
6e-05,4.4e-05
5.4e-05,4.1e-05
5.2e-05,4.6e-05
5.1e-05,4.5e-05
4.6e-05,4.2e-05
5.3e-05,4.9e-05
6e-05,5.3e-05
5.9e-05,5.4e-05
5.1e-05,5.2e-05
4.5e-05,4.4e-05
6.5e-05,5.1e-05
7.2e-05,5.3e-05
6.7e-05,5.9e-05
7.4e-05,6.5e-05
6.7e-05,6.2e-05
5.2e-05,5e-05
7.3e-05,5.8e-05
8.6e-05,6.9e-05
6.8e-05,5e-05
6.7e-05,5.1e-05
6.1e-05,5e-05
6.6e-05,6.9e-05
7.5e-05,6.7e-05
